config_id,features,train_r2,test_r2,n_train,n_test,n_features,rank
905,"change_1w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.72774238535994,0.5583837188499762,114,104,8,404
694,"change_1w, change_2w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499761,114,104,7,405
869,"change_1w, change_2w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499761,114,104,8,406
884,"change_1w, change_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499761,114,104,8,407
969,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499761,114,104,9,408
821,"ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499755,114,104,7,409
785,"change_2w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499754,114,104,7,410
933,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499754,114,104,8,411
800,"change_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7277423853599398,0.5583837188499747,114,104,7,412
925,"change_1w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102104,114,104,8,413
996,"change_1w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102104,114,104,9,414
898,"change_1w, change_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102099,114,104,8,415
983,"change_1w, change_2w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102099,114,104,9,416
989,"change_1w, change_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102099,114,104,9,417
1013,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102099,114,104,10,418
947,"change_2w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102098,114,104,8,419
960,"ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102098,114,104,8,420
1004,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102098,114,104,9,421
953,"change_2w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7329283262071136,0.5579524598102092,114,104,8,422
242,"change_1w, ma_4w, seasonal, vol_3w",0.7271856074042542,0.5577428652208779,114,104,5,423
459,"change_1w, ma_2w, ma_4w, seasonal, vol_3w",0.7271856074042542,0.5577428652208779,114,104,6,424
333,"ma_2w, ma_4w, seasonal, vol_3w",0.7271856074042542,0.5577428652208773,114,104,5,425
424,"change_1w, change_2w, ma_4w, seasonal, vol_3w",0.7272522749464314,0.5574318643001905,114,104,6,426
655,"change_1w, change_2w, ma_2w, ma_4w, seasonal, vol_3w",0.7272522749464314,0.5574318643001905,114,104,7,427
675,"change_1w, change_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464314,0.5574318643001905,114,104,7,428
850,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464314,0.5574318643001905,114,104,8,429
479,"change_1w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464313,0.5574318643001903,114,104,6,430
710,"change_1w, ma_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464313,0.5574318643001903,114,104,7,431
529,"change_2w, ma_2w, ma_4w, seasonal, vol_3w",0.7272522749464312,0.55743186430018965,114,104,6,432
766,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464312,0.55743186430018965,114,104,7,433
584,"ma_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464313,0.5574318643001894,114,104,6,434
549,"change_2w, ma_3w, ma_4w, seasonal, vol_3w",0.7272522749464314,0.5574318643001892,114,104,6,435
500,"change_1w, ma_4w, seasonal, vol_2w, vol_3w",0.7321833440884753,0.5571292081878396,114,104,6,436
731,"change_1w, ma_2w, ma_4w, seasonal, vol_2w, vol_3w",0.7321833440884753,0.5571292081878396,114,104,7,437
605,"ma_2w, ma_4w, seasonal, vol_2w, vol_3w",0.7321833440884753,0.5571292081878387,114,104,6,438
746,"change_1w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.73255553423766,0.5566481196910852,114,104,7,439
907,"change_1w, ma_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.73255553423766,0.5566481196910852,114,104,8,440
696,"change_1w, change_2w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910846,114,104,7,441
823,"ma_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.73255553423766,0.5566481196910846,114,104,7,442
871,"change_1w, change_2w, ma_2w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910846,114,104,8,443
886,"change_1w, change_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910846,114,104,8,444
971,"change_1w, change_2w, ma_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910846,114,104,9,445
787,"change_2w, ma_2w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910844,114,104,7,446
935,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.7325555342376601,0.5566481196910844,114,104,8,447
802,"change_2w, ma_3w, ma_4w, seasonal, vol_2w, vol_3w",0.73255553423766,0.556648119691084,114,104,7,448
36,"ma_3w, seasonal",0.7125174138797461,0.5474731035115465,115,105,3,449
146,"ma_3w, seasonal, cos_seasonal",0.7131595570134079,0.5465650021056617,115,105,4,450
296,"change_2w, ma_4w, seasonal, cos_seasonal",0.7170383574205117,0.5453403099740606,114,104,5,451
156,"ma_4w, seasonal, cos_seasonal",0.7159226996244834,0.545126480103046,114,104,4,452
105,"change_2w, ma_4w, seasonal",0.7167555185724301,0.5442166274798612,114,104,4,453
41,"ma_4w, seasonal",0.7155983115408322,0.5438708644421116,114,104,3,454
23,"change_2w, seasonal",0.7104534417835039,0.5374581093314356,115,105,3,455
30,"ma_2w, seasonal",0.7228931042822728,0.537311049709333,116,106,3,456
15,"change_1w, seasonal",0.7228931042822728,0.5373110497093324,116,106,3,457
66,"change_1w, ma_2w, seasonal",0.7228931042822728,0.5373110497093324,116,106,4,458
110,"change_2w, seasonal, cos_seasonal",0.7112717366389978,0.536586920722504,115,105,4,459
100,"change_2w, ma_3w, seasonal",0.7162606883329496,0.5357679837444695,115,105,4,460
59,"change_1w, change_2w, seasonal",0.7162606883329496,0.535767983744469,115,105,4,461
72,"change_1w, ma_3w, seasonal",0.7162606883329496,0.535767983744469,115,105,4,462
178,"change_1w, change_2w, ma_2w, seasonal",0.7162606883329496,0.535767983744469,115,105,5,463
184,"change_1w, change_2w, ma_3w, seasonal",0.7162606883329496,0.535767983744469,115,105,5,464
205,"change_1w, ma_2w, ma_3w, seasonal",0.7162606883329496,0.535767983744469,115,105,5,465
387,"change_1w, change_2w, ma_2w, ma_3w, seasonal",0.7162606883329496,0.535767983744469,115,105,6,466
121,"ma_2w, ma_3w, seasonal",0.7162606883329495,0.5357679837444689,115,105,4,467
94,"change_2w, ma_2w, seasonal",0.7162606883329494,0.5357679837444687,115,105,4,468
261,"change_2w, ma_2w, ma_3w, seasonal",0.7162606883329494,0.5357679837444687,115,105,5,469
286,"change_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607267,115,105,5,470
194,"change_1w, change_2w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607262,115,105,5,471
397,"change_1w, change_2w, ma_2w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607262,115,105,6,472
412,"change_1w, change_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607262,115,105,6,473
643,"change_1w, change_2w, ma_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607262,115,105,7,474
230,"change_1w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607261,115,105,5,475
447,"change_1w, ma_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607261,115,105,6,476
271,"change_2w, ma_2w, seasonal, cos_seasonal",0.7170356394876249,0.534519590460726,115,105,5,477
517,"change_2w, ma_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.534519590460726,115,105,6,478
321,"ma_2w, ma_3w, seasonal, cos_seasonal",0.7170356394876249,0.5345195904607258,115,105,5,479
131,"ma_2w, seasonal, cos_seasonal",0.7237808969431185,0.5336943674141257,116,106,4,480
82,"change_1w, seasonal, cos_seasonal",0.7237808969431185,0.5336943674141251,116,106,4,481
215,"change_1w, ma_2w, seasonal, cos_seasonal",0.7237808969431185,0.5336943674141251,116,106,5,482
351,"ma_3w, ma_4w, seasonal, cos_seasonal",0.7205859827156869,0.5301152835835143,114,104,5,483
141,"ma_3w, ma_4w, seasonal",0.720073378161239,0.5286314092384268,114,104,4,484
240,"change_1w, ma_4w, seasonal, cos_seasonal",0.7257974995388191,0.5229615986576646,114,104,5,485
457,"change_1w, ma_2w, ma_4w, seasonal, cos_seasonal",0.7257974995388191,0.5229615986576646,114,104,6,486
331,"ma_2w, ma_4w, seasonal, cos_seasonal",0.7257974995388192,0.5229615986576639,114,104,5,487
422,"change_1w, change_2w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,6,488
477,"change_1w, ma_3w, ma_4w, seasonal, cos_seasonal",0.7258148260168901,0.5224816158947674,114,104,6,489
